fecha,nombre_dia,ventas,compra,Inventario
2022-01-01,Saturday,245,0,475
2022-01-02,Sunday,0,0,475
2022-01-03,Monday,4,720,1191
2022-01-04,Tuesday,25,0,1166
2022-01-05,Wednesday,48,0,1118
2022-01-06,Thursday,150,0,968
2022-01-07,Friday,226,0,742
2022-01-08,Saturday,196,0,546
2022-01-09,Sunday,0,0,546
2022-01-10,Monday,3,720,1263
2022-01-11,Tuesday,20,0,1243
2022-01-12,Wednesday,40,0,1203
2022-01-13,Thursday,183,0,1020
2022-01-14,Friday,185,0,835
2022-01-15,Saturday,97,0,738
2022-01-16,Sunday,0,0,738
2022-01-17,Monday,5,720,1453
2022-01-18,Tuesday,22,0,1431
2022-01-19,Wednesday,30,0,1401
2022-01-20,Thursday,176,0,1225
2022-01-21,Friday,216,0,1009
2022-01-22,Saturday,187,0,822
2022-01-23,Sunday,0,0,822
2022-01-24,Monday,6,720,1536
2022-01-25,Tuesday,22,0,1514
2022-01-26,Wednesday,27,0,1487
2022-01-27,Thursday,112,0,1375
2022-01-28,Friday,208,0,1167
2022-01-29,Saturday,187,0,980
2022-01-30,Sunday,0,0,980
2022-01-31,Monday,5,720,1695
2022-02-01,Tuesday,23,0,1672
2022-02-02,Wednesday,38,0,1634
2022-02-03,Thursday,62,0,1572
2022-02-04,Friday,206,0,1366
2022-02-05,Saturday,221,0,1145
2022-02-06,Sunday,0,0,1145
2022-02-07,Monday,4,720,1861
2022-02-08,Tuesday,24,0,1837
2022-02-09,Wednesday,21,0,1816
2022-02-10,Thursday,134,0,1682
2022-02-11,Friday,163,0,1519
2022-02-12,Saturday,169,0,1350
2022-02-13,Sunday,0,0,1350
2022-02-14,Monday,4,720,2066
2022-02-15,Tuesday,13,0,2053
2022-02-16,Wednesday,41,0,2012
2022-02-17,Thursday,146,0,1866
2022-02-18,Friday,195,0,1671
2022-02-19,Saturday,163,0,1508
2022-02-20,Sunday,0,0,1508
2022-02-21,Monday,4,720,2224
2022-02-22,Tuesday,25,0,2199
2022-02-23,Wednesday,42,0,2157
2022-02-24,Thursday,118,0,2039
2022-02-25,Friday,123,0,1916
2022-02-26,Saturday,201,0,1715
2022-02-27,Sunday,0,0,1715
2022-02-28,Monday,7,720,2428
2022-03-01,Tuesday,19,0,2409
2022-03-02,Wednesday,42,0,2367
2022-03-03,Thursday,176,0,2191
2022-03-04,Friday,183,0,2008
2022-03-05,Saturday,324,0,1684
2022-03-06,Sunday,0,0,1684
2022-03-07,Monday,6,720,2398
2022-03-08,Tuesday,18,0,2380
2022-03-09,Wednesday,47,0,2333
2022-03-10,Thursday,103,0,2230
2022-03-11,Friday,171,0,2059
2022-03-12,Saturday,317,0,1742
2022-03-13,Sunday,0,0,1742
2022-03-14,Monday,7,720,2455
2022-03-15,Tuesday,10,0,2445
2022-03-16,Wednesday,56,0,2389
2022-03-17,Thursday,173,0,2216
2022-03-18,Friday,214,0,2002
2022-03-19,Saturday,284,0,1718
2022-03-20,Sunday,0,0,1718
2022-03-21,Monday,7,720,2431
2022-03-22,Tuesday,21,0,2410
2022-03-23,Wednesday,30,0,2380
2022-03-24,Thursday,73,0,2307
2022-03-25,Friday,159,0,2148
2022-03-26,Saturday,95,0,2053
2022-03-27,Sunday,0,0,2053
2022-03-28,Monday,5,720,2768
2022-03-29,Tuesday,26,0,2742
2022-03-30,Wednesday,41,0,2701
2022-03-31,Thursday,167,0,2534
2022-04-01,Friday,313,0,2221
2022-04-02,Saturday,95,0,2126
2022-04-03,Sunday,0,0,2126
2022-04-04,Monday,5,720,2841
2022-04-05,Tuesday,12,0,2829
2022-04-06,Wednesday,43,0,2786
2022-04-07,Thursday,277,0,2509
2022-04-08,Friday,204,0,2305
2022-04-09,Saturday,253,0,2052
2022-04-10,Sunday,0,0,2052
2022-04-11,Monday,7,720,2765
2022-04-12,Tuesday,28,0,2737
2022-04-13,Wednesday,33,0,2704
2022-04-14,Thursday,186,0,2518
2022-04-15,Friday,241,0,2277
2022-04-16,Saturday,207,0,2070
2022-04-17,Sunday,0,0,2070
2022-04-18,Monday,7,720,2783
2022-04-19,Tuesday,16,0,2767
2022-04-20,Wednesday,37,0,2730
2022-04-21,Thursday,92,0,2638
2022-04-22,Friday,192,0,2446
2022-04-23,Saturday,145,0,2301
2022-04-24,Sunday,0,0,2301
2022-04-25,Monday,7,720,3014
2022-04-26,Tuesday,23,0,2991
2022-04-27,Wednesday,51,0,2940
2022-04-28,Thursday,163,0,2777
2022-04-29,Friday,134,0,2643
2022-04-30,Saturday,132,0,2511
2022-05-01,Sunday,0,0,2511
2022-05-02,Monday,4,720,3227
2022-05-03,Tuesday,13,0,3214
2022-05-04,Wednesday,43,0,3171
2022-05-05,Thursday,135,0,3036
2022-05-06,Friday,244,0,2792
2022-05-07,Saturday,196,0,2596
2022-05-08,Sunday,0,0,2596
2022-05-09,Monday,6,720,3310
2022-05-10,Tuesday,27,0,3283
2022-05-11,Wednesday,55,0,3228
2022-05-12,Thursday,104,0,3124
2022-05-13,Friday,266,0,2858
2022-05-14,Saturday,253,0,2605
2022-05-15,Sunday,0,0,2605
2022-05-16,Monday,7,720,3318
2022-05-17,Tuesday,15,0,3303
2022-05-18,Wednesday,35,0,3268
2022-05-19,Thursday,51,0,3217
2022-05-20,Friday,159,0,3058
2022-05-21,Saturday,270,0,2788
2022-05-22,Sunday,0,0,2788
2022-05-23,Monday,3,720,3505
2022-05-24,Tuesday,23,0,3482
2022-05-25,Wednesday,38,0,3444
2022-05-26,Thursday,135,0,3309
2022-05-27,Friday,207,0,3102
2022-05-28,Saturday,170,0,2932
