fecha,nombre_dia,ventas,compra,Inventario
2022-01-01,Saturday,251,0,469
2022-01-02,Sunday,0,0,469
2022-01-03,Monday,4,720,1185
2022-01-04,Tuesday,27,0,1158
2022-01-05,Wednesday,33,0,1125
2022-01-06,Thursday,75,0,1050
2022-01-07,Friday,252,0,798
2022-01-08,Saturday,166,0,632
2022-01-09,Sunday,0,0,632
2022-01-10,Monday,7,720,1345
2022-01-11,Tuesday,11,0,1334
2022-01-12,Wednesday,33,0,1301
2022-01-13,Thursday,93,0,1208
2022-01-14,Friday,92,0,1116
2022-01-15,Saturday,129,0,987
2022-01-16,Sunday,0,0,987
2022-01-17,Monday,4,720,1703
2022-01-18,Tuesday,24,0,1679
2022-01-19,Wednesday,22,0,1657
2022-01-20,Thursday,175,0,1482
2022-01-21,Friday,208,0,1274
2022-01-22,Saturday,274,0,1000
2022-01-23,Sunday,0,0,1000
2022-01-24,Monday,5,720,1715
2022-01-25,Tuesday,11,0,1704
2022-01-26,Wednesday,37,0,1667
2022-01-27,Thursday,168,0,1499
2022-01-28,Friday,80,0,1419
2022-01-29,Saturday,193,0,1226
2022-01-30,Sunday,0,0,1226
2022-01-31,Monday,5,720,1941
2022-02-01,Tuesday,14,0,1927
2022-02-02,Wednesday,53,0,1874
2022-02-03,Thursday,161,0,1713
2022-02-04,Friday,149,0,1564
2022-02-05,Saturday,98,0,1466
2022-02-06,Sunday,0,0,1466
2022-02-07,Monday,6,720,2180
2022-02-08,Tuesday,25,0,2155
2022-02-09,Wednesday,55,0,2100
2022-02-10,Thursday,143,0,1957
2022-02-11,Friday,162,0,1795
2022-02-12,Saturday,162,0,1633
2022-02-13,Sunday,0,0,1633
2022-02-14,Monday,3,720,2350
2022-02-15,Tuesday,16,0,2334
2022-02-16,Wednesday,52,0,2282
2022-02-17,Thursday,89,0,2193
2022-02-18,Friday,210,0,1983
2022-02-19,Saturday,174,0,1809
2022-02-20,Sunday,0,0,1809
2022-02-21,Monday,7,720,2522
2022-02-22,Tuesday,11,0,2511
2022-02-23,Wednesday,54,0,2457
2022-02-24,Thursday,148,0,2309
2022-02-25,Friday,164,0,2145
2022-02-26,Saturday,188,0,1957
2022-02-27,Sunday,0,0,1957
2022-02-28,Monday,6,720,2671
2022-03-01,Tuesday,26,0,2645
2022-03-02,Wednesday,33,0,2612
2022-03-03,Thursday,173,0,2439
2022-03-04,Friday,148,0,2291
2022-03-05,Saturday,168,0,2123
2022-03-06,Sunday,0,0,2123
2022-03-07,Monday,5,720,2838
2022-03-08,Tuesday,23,0,2815
2022-03-09,Wednesday,41,0,2774
2022-03-10,Thursday,142,0,2632
2022-03-11,Friday,221,0,2411
2022-03-12,Saturday,213,0,2198
2022-03-13,Sunday,0,0,2198
2022-03-14,Monday,5,720,2913
2022-03-15,Tuesday,15,0,2898
2022-03-16,Wednesday,13,0,2885
2022-03-17,Thursday,95,0,2790
2022-03-18,Friday,167,0,2623
2022-03-19,Saturday,181,0,2442
2022-03-20,Sunday,0,0,2442
2022-03-21,Monday,4,720,3158
2022-03-22,Tuesday,16,0,3142
2022-03-23,Wednesday,31,0,3111
2022-03-24,Thursday,62,0,3049
2022-03-25,Friday,107,0,2942
2022-03-26,Saturday,141,0,2801
2022-03-27,Sunday,0,0,2801
2022-03-28,Monday,5,720,3516
2022-03-29,Tuesday,27,0,3489
2022-03-30,Wednesday,37,0,3452
2022-03-31,Thursday,137,0,3315
2022-04-01,Friday,98,0,3217
2022-04-02,Saturday,236,0,2981
2022-04-03,Sunday,0,0,2981
2022-04-04,Monday,6,720,3695
2022-04-05,Tuesday,17,0,3678
2022-04-06,Wednesday,34,0,3644
2022-04-07,Thursday,188,0,3456
2022-04-08,Friday,222,0,3234
2022-04-09,Saturday,256,0,2978
2022-04-10,Sunday,0,0,2978
2022-04-11,Monday,6,720,3692
2022-04-12,Tuesday,20,0,3672
2022-04-13,Wednesday,35,0,3637
2022-04-14,Thursday,144,0,3493
2022-04-15,Friday,249,0,3244
2022-04-16,Saturday,197,0,3047
2022-04-17,Sunday,0,0,3047
2022-04-18,Monday,3,720,3764
2022-04-19,Tuesday,22,0,3742
2022-04-20,Wednesday,39,0,3703
2022-04-21,Thursday,118,0,3585
2022-04-22,Friday,221,0,3364
2022-04-23,Saturday,242,0,3122
2022-04-24,Sunday,0,0,3122
2022-04-25,Monday,4,720,3838
2022-04-26,Tuesday,26,0,3812
2022-04-27,Wednesday,47,0,3765
2022-04-28,Thursday,220,0,3545
2022-04-29,Friday,237,0,3308
2022-04-30,Saturday,263,0,3045
2022-05-01,Sunday,0,0,3045
2022-05-02,Monday,5,720,3760
2022-05-03,Tuesday,28,0,3732
2022-05-04,Wednesday,44,0,3688
2022-05-05,Thursday,187,0,3501
2022-05-06,Friday,236,0,3265
2022-05-07,Saturday,240,0,3025
2022-05-08,Sunday,0,0,3025
2022-05-09,Monday,4,720,3741
2022-05-10,Tuesday,9,0,3732
2022-05-11,Wednesday,53,0,3679
2022-05-12,Thursday,154,0,3525
2022-05-13,Friday,71,0,3454
2022-05-14,Saturday,197,0,3257
2022-05-15,Sunday,0,0,3257
2022-05-16,Monday,4,720,3973
2022-05-17,Tuesday,13,0,3960
2022-05-18,Wednesday,46,0,3914
2022-05-19,Thursday,91,0,3823
2022-05-20,Friday,140,0,3683
2022-05-21,Saturday,193,0,3490
2022-05-22,Sunday,0,0,3490
2022-05-23,Monday,4,720,4206
2022-05-24,Tuesday,8,0,4198
2022-05-25,Wednesday,43,0,4155
2022-05-26,Thursday,105,0,4050
2022-05-27,Friday,268,0,3782
2022-05-28,Saturday,233,0,3549
2022-05-29,Sunday,0,0,3549
2022-05-30,Monday,3,720,4266
2022-05-31,Tuesday,10,0,4256
2022-06-01,Wednesday,59,0,4197
2022-06-02,Thursday,126,0,4071
2022-06-03,Friday,232,0,3839
2022-06-04,Saturday,243,0,3596
2022-06-05,Sunday,0,0,3596
2022-06-06,Monday,4,720,4312
2022-06-07,Tuesday,28,0,4284
2022-06-08,Wednesday,52,0,4232
2022-06-09,Thursday,145,0,4087
2022-06-10,Friday,164,0,3923
2022-06-11,Saturday,192,0,3731
