fecha,nombre_dia,ventas,compra,Inventario
2022-01-01,Saturday,190,0,530
2022-01-02,Sunday,0,0,530
2022-01-03,Monday,4,720,1246
2022-01-04,Tuesday,23,0,1223
2022-01-05,Wednesday,31,0,1192
2022-01-06,Thursday,249,0,943
2022-01-07,Friday,208,0,735
2022-01-08,Saturday,277,0,458
2022-01-09,Sunday,0,0,458
2022-01-10,Monday,3,720,1175
2022-01-11,Tuesday,19,0,1156
2022-01-12,Wednesday,34,0,1122
2022-01-13,Thursday,109,0,1013
2022-01-14,Friday,260,0,753
2022-01-15,Saturday,196,0,557
2022-01-16,Sunday,0,0,557
2022-01-17,Monday,4,720,1273
2022-01-18,Tuesday,19,0,1254
2022-01-19,Wednesday,53,0,1201
2022-01-20,Thursday,116,0,1085
2022-01-21,Friday,239,0,846
2022-01-22,Saturday,263,0,583
2022-01-23,Sunday,0,0,583
2022-01-24,Monday,5,720,1298
2022-01-25,Tuesday,13,0,1285
2022-01-26,Wednesday,36,0,1249
2022-01-27,Thursday,127,0,1122
2022-01-28,Friday,234,0,888
2022-01-29,Saturday,162,0,726
2022-01-30,Sunday,0,0,726
2022-01-31,Monday,7,720,1439
2022-02-01,Tuesday,23,0,1416
2022-02-02,Wednesday,34,0,1382
2022-02-03,Thursday,116,0,1266
2022-02-04,Friday,274,0,992
2022-02-05,Saturday,159,0,833
2022-02-06,Sunday,0,0,833
2022-02-07,Monday,2,720,1551
2022-02-08,Tuesday,17,0,1534
2022-02-09,Wednesday,38,0,1496
2022-02-10,Thursday,187,0,1309
2022-02-11,Friday,100,0,1209
2022-02-12,Saturday,157,0,1052
2022-02-13,Sunday,0,0,1052
2022-02-14,Monday,4,720,1768
2022-02-15,Tuesday,20,0,1748
2022-02-16,Wednesday,25,0,1723
2022-02-17,Thursday,106,0,1617
2022-02-18,Friday,163,0,1454
2022-02-19,Saturday,319,0,1135
2022-02-20,Sunday,0,0,1135
2022-02-21,Monday,4,720,1851
2022-02-22,Tuesday,20,0,1831
2022-02-23,Wednesday,29,0,1802
2022-02-24,Thursday,121,0,1681
2022-02-25,Friday,253,0,1428
2022-02-26,Saturday,168,0,1260
2022-02-27,Sunday,0,0,1260
2022-02-28,Monday,4,720,1976
2022-03-01,Tuesday,28,0,1948
2022-03-02,Wednesday,35,0,1913
2022-03-03,Thursday,80,0,1833
2022-03-04,Friday,200,0,1633
2022-03-05,Saturday,121,0,1512
2022-03-06,Sunday,0,0,1512
2022-03-07,Monday,4,720,2228
2022-03-08,Tuesday,24,0,2204
2022-03-09,Wednesday,45,0,2159
2022-03-10,Thursday,125,0,2034
2022-03-11,Friday,193,0,1841
2022-03-12,Saturday,318,0,1523
2022-03-13,Sunday,0,0,1523
2022-03-14,Monday,6,720,2237
2022-03-15,Tuesday,17,0,2220
2022-03-16,Wednesday,45,0,2175
2022-03-17,Thursday,201,0,1974
2022-03-18,Friday,164,0,1810
2022-03-19,Saturday,197,0,1613
2022-03-20,Sunday,0,0,1613
2022-03-21,Monday,4,720,2329
2022-03-22,Tuesday,15,0,2314
2022-03-23,Wednesday,59,0,2255
2022-03-24,Thursday,108,0,2147
2022-03-25,Friday,102,0,2045
2022-03-26,Saturday,227,0,1818
2022-03-27,Sunday,0,0,1818
2022-03-28,Monday,6,720,2532
2022-03-29,Tuesday,23,0,2509
2022-03-30,Wednesday,34,0,2475
2022-03-31,Thursday,114,0,2361
2022-04-01,Friday,271,0,2090
2022-04-02,Saturday,177,0,1913
2022-04-03,Sunday,0,0,1913
2022-04-04,Monday,9,720,2624
2022-04-05,Tuesday,19,0,2605
2022-04-06,Wednesday,27,0,2578
2022-04-07,Thursday,101,0,2477
2022-04-08,Friday,183,0,2294
2022-04-09,Saturday,152,0,2142
2022-04-10,Sunday,0,0,2142
2022-04-11,Monday,7,720,2855
2022-04-12,Tuesday,21,0,2834
2022-04-13,Wednesday,32,0,2802
2022-04-14,Thursday,143,0,2659
2022-04-15,Friday,161,0,2498
2022-04-16,Saturday,197,0,2301
2022-04-17,Sunday,0,0,2301
2022-04-18,Monday,6,720,3015
2022-04-19,Tuesday,21,0,2994
2022-04-20,Wednesday,29,0,2965
2022-04-21,Thursday,130,0,2835
2022-04-22,Friday,194,0,2641
2022-04-23,Saturday,211,0,2430
2022-04-24,Sunday,0,0,2430
2022-04-25,Monday,7,720,3143
2022-04-26,Tuesday,19,0,3124
2022-04-27,Wednesday,54,0,3070
2022-04-28,Thursday,196,0,2874
2022-04-29,Friday,144,0,2730
2022-04-30,Saturday,223,0,2507
2022-05-01,Sunday,0,0,2507
2022-05-02,Monday,5,720,3222
2022-05-03,Tuesday,28,0,3194
2022-05-04,Wednesday,40,0,3154
2022-05-05,Thursday,141,0,3013
2022-05-06,Friday,196,0,2817
2022-05-07,Saturday,140,0,2677
2022-05-08,Sunday,0,0,2677
2022-05-09,Monday,4,720,3393
2022-05-10,Tuesday,26,0,3367
2022-05-11,Wednesday,41,0,3326
2022-05-12,Thursday,132,0,3194
2022-05-13,Friday,123,0,3071
2022-05-14,Saturday,217,0,2854
2022-05-15,Sunday,0,0,2854
2022-05-16,Monday,6,720,3568
2022-05-17,Tuesday,15,0,3553
2022-05-18,Wednesday,64,0,3489
2022-05-19,Thursday,121,0,3368
2022-05-20,Friday,273,0,3095
2022-05-21,Saturday,202,0,2893
2022-05-22,Sunday,0,0,2893
2022-05-23,Monday,4,720,3609
2022-05-24,Tuesday,16,0,3593
2022-05-25,Wednesday,48,0,3545
2022-05-26,Thursday,143,0,3402
2022-05-27,Friday,162,0,3240
2022-05-28,Saturday,172,0,3068
2022-05-29,Sunday,0,0,3068
2022-05-30,Monday,4,720,3784
2022-05-31,Tuesday,16,0,3768
2022-06-01,Wednesday,6,0,3762
2022-06-02,Thursday,94,0,3668
2022-06-03,Friday,146,0,3522
2022-06-04,Saturday,92,0,3430
2022-06-05,Sunday,0,0,3430
2022-06-06,Monday,3,720,4147
2022-06-07,Tuesday,13,0,4134
2022-06-08,Wednesday,62,0,4072
2022-06-09,Thursday,126,0,3946
2022-06-10,Friday,219,0,3727
2022-06-11,Saturday,154,0,3573
2022-06-12,Sunday,0,0,3573
2022-06-13,Monday,7,720,4286
2022-06-14,Tuesday,20,0,4266
2022-06-15,Wednesday,32,0,4234
2022-06-16,Thursday,97,0,4137
2022-06-17,Friday,251,0,3886
2022-06-18,Saturday,215,0,3671
2022-06-19,Sunday,0,0,3671
2022-06-20,Monday,5,720,4386
2022-06-21,Tuesday,17,0,4369
2022-06-22,Wednesday,47,0,4322
2022-06-23,Thursday,168,0,4154
2022-06-24,Friday,222,0,3932
2022-06-25,Saturday,193,0,3739
2022-06-26,Sunday,0,0,3739
2022-06-27,Monday,4,720,4455
2022-06-28,Tuesday,24,0,4431
2022-06-29,Wednesday,44,0,4387
2022-06-30,Thursday,159,0,4228
2022-07-01,Friday,80,0,4148
2022-07-02,Saturday,222,0,3926
2022-07-03,Sunday,0,0,3926
2022-07-04,Monday,5,720,4641
2022-07-05,Tuesday,16,0,4625
2022-07-06,Wednesday,42,0,4583
2022-07-07,Thursday,170,0,4413
2022-07-08,Friday,144,0,4269
2022-07-09,Saturday,254,0,4015
2022-07-10,Sunday,0,0,4015
2022-07-11,Monday,4,720,4731
2022-07-12,Tuesday,18,0,4713
2022-07-13,Wednesday,37,0,4676
2022-07-14,Thursday,122,0,4554
2022-07-15,Friday,197,0,4357
2022-07-16,Saturday,216,0,4141
2022-07-17,Sunday,0,0,4141
2022-07-18,Monday,6,720,4855
2022-07-19,Tuesday,12,0,4843
2022-07-20,Wednesday,40,0,4803
2022-07-21,Thursday,144,0,4659
2022-07-22,Friday,250,0,4409
2022-07-23,Saturday,179,0,4230
2022-07-24,Sunday,0,0,4230
2022-07-25,Monday,5,720,4945
2022-07-26,Tuesday,14,0,4931
2022-07-27,Wednesday,49,0,4882
2022-07-28,Thursday,128,0,4754
2022-07-29,Friday,269,0,4485
2022-07-30,Saturday,179,0,4306
2022-07-31,Sunday,0,0,4306
2022-08-01,Monday,6,720,5020
2022-08-02,Tuesday,18,0,5002
2022-08-03,Wednesday,18,0,4984
2022-08-04,Thursday,142,0,4842
2022-08-05,Friday,265,0,4577
2022-08-06,Saturday,196,0,4381
2022-08-07,Sunday,0,0,4381
2022-08-08,Monday,5,720,5096
2022-08-09,Tuesday,14,0,5082
2022-08-10,Wednesday,42,0,5040
2022-08-11,Thursday,121,0,4919
2022-08-12,Friday,235,0,4684
2022-08-13,Saturday,107,0,4577
2022-08-14,Sunday,0,0,4577
2022-08-15,Monday,6,720,5291
2022-08-16,Tuesday,27,0,5264
2022-08-17,Wednesday,56,0,5208
2022-08-18,Thursday,121,0,5087
2022-08-19,Friday,158,0,4929
2022-08-20,Saturday,229,0,4700
2022-08-21,Sunday,0,0,4700
2022-08-22,Monday,4,720,5416
2022-08-23,Tuesday,18,0,5398
2022-08-24,Wednesday,46,0,5352
2022-08-25,Thursday,104,0,5248
2022-08-26,Friday,225,0,5023
2022-08-27,Saturday,149,0,4874
2022-08-28,Sunday,0,0,4874
2022-08-29,Monday,2,720,5592
2022-08-30,Tuesday,17,0,5575
2022-08-31,Wednesday,43,0,5532
2022-09-01,Thursday,151,0,5381
2022-09-02,Friday,327,0,5054
2022-09-03,Saturday,263,0,4791
2022-09-04,Sunday,0,0,4791
2022-09-05,Monday,5,720,5506
2022-09-06,Tuesday,24,0,5482
2022-09-07,Wednesday,37,0,5445
2022-09-08,Thursday,161,0,5284
2022-09-09,Friday,92,0,5192
2022-09-10,Saturday,259,0,4933
2022-09-11,Sunday,0,0,4933
2022-09-12,Monday,4,720,5649
2022-09-13,Tuesday,15,0,5634
2022-09-14,Wednesday,51,0,5583
2022-09-15,Thursday,131,0,5452
2022-09-16,Friday,247,0,5205
2022-09-17,Saturday,186,0,5019
2022-09-18,Sunday,0,0,5019
2022-09-19,Monday,2,720,5737
2022-09-20,Tuesday,23,0,5714
2022-09-21,Wednesday,70,0,5644
2022-09-22,Thursday,165,0,5479
2022-09-23,Friday,174,0,5305
2022-09-24,Saturday,141,0,5164
2022-09-25,Sunday,0,0,5164
2022-09-26,Monday,3,720,5881
2022-09-27,Tuesday,21,0,5860
2022-09-28,Wednesday,28,0,5832
2022-09-29,Thursday,123,0,5709
2022-09-30,Friday,245,0,5464
2022-10-01,Saturday,216,0,5248
2022-10-02,Sunday,0,0,5248
2022-10-03,Monday,7,720,5961
2022-10-04,Tuesday,18,0,5943
2022-10-05,Wednesday,66,0,5877
2022-10-06,Thursday,232,0,5645
2022-10-07,Friday,240,0,5405
2022-10-08,Saturday,176,0,5229
2022-10-09,Sunday,0,0,5229
2022-10-10,Monday,6,720,5943
2022-10-11,Tuesday,16,0,5927
2022-10-12,Wednesday,31,0,5896
2022-10-13,Thursday,107,0,5789
2022-10-14,Friday,304,0,5485
2022-10-15,Saturday,134,0,5351
2022-10-16,Sunday,0,0,5351
2022-10-17,Monday,6,720,6065
2022-10-18,Tuesday,25,0,6040
2022-10-19,Wednesday,25,0,6015
2022-10-20,Thursday,116,0,5899
2022-10-21,Friday,223,0,5676
2022-10-22,Saturday,164,0,5512
2022-10-23,Sunday,0,0,5512
2022-10-24,Monday,4,720,6228
2022-10-25,Tuesday,20,0,6208
2022-10-26,Wednesday,29,0,6179
2022-10-27,Thursday,221,0,5958
2022-10-28,Friday,69,0,5889
2022-10-29,Saturday,206,0,5683
2022-10-30,Sunday,0,0,5683
2022-10-31,Monday,5,720,6398
2022-11-01,Tuesday,26,0,6372
2022-11-02,Wednesday,24,0,6348
2022-11-03,Thursday,168,0,6180
2022-11-04,Friday,113,0,6067
2022-11-05,Saturday,187,0,5880
2022-11-06,Sunday,0,0,5880
2022-11-07,Monday,5,720,6595
2022-11-08,Tuesday,17,0,6578
2022-11-09,Wednesday,37,0,6541
2022-11-10,Thursday,235,0,6306
2022-11-11,Friday,221,0,6085
2022-11-12,Saturday,181,0,5904
2022-11-13,Sunday,0,0,5904
2022-11-14,Monday,7,720,6617
2022-11-15,Tuesday,29,0,6588
2022-11-16,Wednesday,50,0,6538
2022-11-17,Thursday,210,0,6328
2022-11-18,Friday,182,0,6146
2022-11-19,Saturday,225,0,5921
2022-11-20,Sunday,0,0,5921
2022-11-21,Monday,8,720,6633
2022-11-22,Tuesday,25,0,6608
2022-11-23,Wednesday,29,0,6579
2022-11-24,Thursday,223,0,6356
2022-11-25,Friday,143,0,6213
2022-11-26,Saturday,170,0,6043
2022-11-27,Sunday,0,0,6043
2022-11-28,Monday,5,720,6758
2022-11-29,Tuesday,13,0,6745
2022-11-30,Wednesday,64,0,6681
2022-12-01,Thursday,202,0,6479
2022-12-02,Friday,159,0,6320
2022-12-03,Saturday,106,0,6214
2022-12-04,Sunday,0,0,6214
2022-12-05,Monday,8,720,6926
